stars,text
1.0,I recently upgraded to this model of Kindle. Liked it so much I bought this one for my daughter. She loves it. It's much nicer than the older model she and I had.
1.0,this tablet is awesome. the fact that I can use a micro sd card to have more memory and can listen to my content on the card is great. the additional screen size is what I wanted and it has not disappointed. this was a great purchase!!!
1.0,I love to read and this tablet work great for my needs.
1.0,"Best tablet, good price, nice looking. Ordering on line was easy."
1.0,"My daughter loves this kindle, she does so much with it,well worth the money."
1.0,"This is my third Kindle, I still have the other two; however, this has a camera and much larger screen. I would take this product any day over a tablet."
1.0,I travel a lot and this is perfect for watching movies or reading on the flights
1.0,"Great size, easy to carry for traveling. Need to spend more time Looking into apps for contact manegement, interactive calenders and most important, music storage and use."
1.0,My kid enjoys the tablet. This one is inexpensive than ipad. The availability of apps are limited.
1.0,"I was looking for something to read on and this fit the bill for the right price.Great screen clarity, good adjustment too. Works well and the battery life is great. Size is nice too. Big enough for 1 hand if needed."
1.0,"I GOT THE FIRE HD SO MY KIDS COULD READ BOOKS , PLAY GAMES AND WATCH THEIR SHOWS . WITHOUT SPENDING AN ARM AND A LEG FOR THE TABLET. I THINK THIS IS A GOOD TABLE FOR KIDS / YOUNG TEENS WHO WANT TO HAVE A TABLET BUT NOT BREAK THE BANK."
1.0,for the price this is a great works well the for the price display is hd love it
1.0,I thought that this tablet was junk but it has surpassed my expectations
1.0,Enjoy reading books on it as well as viewing videos.
1.0,"No problems with tablet, kids love it and the size is great"
1.0,Can't beat the price on this tablet! Great for streaming or casual games.
1.0,"After using this tablet for a while, I have found that I even prefer this size over my iPad Air. Easy to carry around and long battery life make this my preferred device. The screen is just the perfect size for my older eyes, the screen on the 7"" fire is just too small and cramped, and it seemed a lot less responsive. I highly recommend this sweet tablet."
1.0,YOU PAY FOR THE BEST AND YOU GET THE BEST. THANK YOU BEST BUY FOR PROVIDING THIS PRODUCT
1.0,"Works great with all the Amazon stuff, like Kindle, Alexa, etc."
1.0,I love my Kindle fire. Had a Kindle and it disappeared. Enjoy not having to go to library for books. I get a great selection of books every day.
1.0,My kids love it. Battery life is longer than others.
1.0,"love the ease of use with tablet, have not had any issues"
1.0,"I have an older Kindle and enjoyed it very much. However, there is so much more improvement in this tablet with faster processing speed, upgradable storage and longer battery life. I'm really happy!"
1.0,Great tablet for beginners! Very light and screen is wide. Enjoy using for travels.
1.0,This is a good product for the price. Many more things can be done with this fire 8 than we dreamed about.
1.0,Very competitive Price - Unit works well we like color and size
1.0,"I enjoy the new kindle, only things I would like to change is the way screen darkens and lightens while reading. Not sure how to stop that. Occurs consistently. Also, would like to stop the ads seen each and every time kindle is turned on to start reading again. That is bothersome. Otherwise, am happy with the kindle."
1.0,"Tablet works well, slim design is perfect. Highly recommended to purchase this tablet."
1.0,I have ordered a couple of these for my family members and say that they work great and do everything that they are supposed too. Highly recommend.
1.0,This was purchased on Black Friday as an impulse buy and we absolutely love it! It was a great price and the size of the tablet is perfect. It works great!
1.0,I wanted a low cost internet device to feed internet radio choices into my stereo. This fit the bill well. I use the headphone jack to connect with my stereo and get great sound. I don't use most of the other apps that come on the device.
1.0,Got this for my grandmother and she absolutely loves it.
1.0,"totally worth the money, has all the apps I use on a daily basis!"
1.0,Nice little tablet for the money. A few ads to deal with.
1.0,"This is my first tablet and it's going well so far. I purchased this for reading and streaming. There have been a few hiccups with regards to a streaming video buffering for a long time and sometimes I have trouble with response on commands, but overall, I'm happy. It's been a nice device to have for reading online material offline."
1.0,"Good picture, works well, great variety of apps. keep in mind that you get apps from amazon, not google play, so they aren't always the same or same price"
1.0,Great little tablet after you add google play store. Takes some research to do.
1.0,Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.
1.0,I got it at a great price. They price matched for me. Much faster then getting my laptop out to check email
1.0,I got this for my son to play games on soI could get my iPad back. Personally I think it's a great little tablet for kids and or for reading. Other then that it's not a high powered game playing tablet or anything to keep lots of storage on. But it works for what it's intended for andI have no problems.
1.0,"For the money you cannot beat this tablet. Full of features, picture quality is great, and very fast speed while using the internet."
1.0,"Love the Fire, the picture is good and really like the amazon link"
1.0,The best tablet for the price i use it everyday to watch youtube videos
1.0,I have enjoyed just learning how to use it. You're never too old to learn new things.
1.0,The Fire HD8 strikes an excellent balance between performance and price. It has many of the features you'd want in a tablet for a fraction of the cost. Works flawlessly for reading and video streaming.
1.0,Really enjoy my kindle. Fits perfect in my purse and the screen is a good size.
1.0,"I bought this tablet to be pretty much exclusively an e-reader. It's actually cheaper than most of the kindles. For that limited use, it works fine. I don't think I would want to use it as a general purpose table (too slow!). Makes a fine e-reader though. As for recommending this to a friend, I would, but would make sure they knew what I use it for."
1.0,"I purchased this tablet for my mother, but I set it up and tested it out. It is super fast! I have the original Kindle Fire and all I can say is Amazon has come a long way! The new Fire HD8 is so much better than the original! I like it so much that I am thinking of purchasing one for myself! I would highly recommend this tablet to anyone!"
1.0,performs as designed got it on sale for 79 dollars
1.0,I didn't actually use as I bought for a gift. My grandson already had one so we returned for a pair if 3-d goggles.
1.0,Bought this tablet for my son and he has loved it. It's so easy for him to use and easy for me to set parental controls.
1.0,Great buy. Bought it for my 10 year old niece. She loves it.
1.0,Great for my son. I monitor school work and apps he downloads.
1.0,"Bought this for my dad, he is 87. Very easy to use and setup. He loves it and uses it 3/4 hours a day"
1.0,I bought this for my dad in his late 60s mainly to listen to music and read ebooks borrowed from the library. I set it up for him and he loves it. I just don't like that it has ads on the start up unless you pay to get rid of them.
1.0,Purchase this tablet during the Christmas sale. This tablet is a good tablet for a beginner. Easy to use and shows movies and videos very well.
1.0,My previous Kindle was dying and I wanted a new replacement fast. I went to Amazon and while they had one it was back ordered a month. Expecting to pay more I went to Best Buy and not only found it for the same price but even better it was available at my local store and I could pick it up the same day!
1.0,I'm so glad i brought this because it is very handy and easy to use too. Everything about it is good and I really like it.
1.0,In my opinion this the absolute best value on a tablet out there. No way to go wrong at this price
1.0,Excellent price point for my basic requirements. It has all the features I need for comfortable reading of online novels and articles.
1.0,Perfect for our needs and an on the go mini computer and ereader.
1.0,"This is my third Kindle. My sister bought me my first one and I said I didn't need it and probably wouldn't use it. I was so wrong! I use it everyday. When it died, I bought another one and then a third. I can't live without a kindle."
1.0,This tablet does all I need a tablet to do. Reason why it's my 3rd one.
1.0,"This is a great, easy to use tablet for the price."
1.0,Bought this as a gift for my mother. She absolutely loves it. Easy to set up and use. and the price was right.
1.0,We bought the tablet for our kid and it actually is good for her.
1.0,"Longtime Apple user, but for this price vs an iPad you can't beat this product!"
1.0,My daughter loves her tablet. I had to make sure I brought a case because it is very thin. No problems and I can see everything she downloads
1.0,"After having a basic Kindle for 6 years, I moved up. I am thrilled with all this product can do. I am an avid reader. The Fire let's me do that and lots of other things. I am still finding apps, and other things it will do. I know this sounds ""old fashioned"", but it would be great to have a user's manual! Thanks for asking."
1.0,Was a present for my 14 year old grandson. He was very pleased.
1.0,One of the best inexpensive tablets on the market. Great for the casual user
1.0,More features In several ways than iPad. This android tablet is really powerful
1.0,I've enjoyed using my Fire HD8 tablet to play games.
1.0,Great gift for a younger person who wants a tablet
1.0,"Great tab and the price cannot be beat, Only gripe is the fire os. Oh well"
1.0,"Unlike my first Kindle, this tablet gives me all kinds of information, advertisements and offers when I first turn it on. I could live without that, but overall, I am pleased with this new tablet. It does many things I haven't taken the time to explore, but hope to soon."
1.0,We got this for our 5 year old and this is really great for the price. Works like a charm!!
1.0,"Love it, easy to operate. Very reasonable price - on sale."
1.0,Great video quality lots of fun apps fun for the whole family
1.0,"For my son as a present for college books. 5 textbooks were 1/4 the price on kindle than if we bought them on Amazon, this is my third kindle. Other two still working great,"
1.0,"Better and faster than Kindle 7"". Great performance for the price."
1.0,"I purchased this item for my husband and he has liked reading Kindle books on it and the other features like Silk, etc. Light little tablet with good features."
1.0,Perfect purchase for me. I take it everywhere and is so easy to use!
1.0,"great product, easy to use, love the lighted pad, ease of down loading books,"
1.0,I purchased this for my 12 year old and it was at a great price point. I like the parental controls feature with the multiple profiles. This allows me to control what she has access to which is a plus for me.
1.0,The fire is great. The size is really nice. Not to big. The clarity is really good.
1.0,"For the price and features offered on the tablet, I wouldn't purchase any other tablet. I enjoy using it and overall find it fairly easy to navigate. Easy internet browser with ""Silk"" and convenient access to all the applications I am interested in."
1.0,"good for beginners play games ,take picture and recording videos old the time"
1.0,I love Amazon Fire HD8... It is so easy to use and perfect for reading books on or cruising Social Media. I love that it has Alexa included on it.
1.0,"I got this on an impulse buy, mostly for my 16+ hour flight, but also just in general. Was in line buying something when I saw this at an unbelievable price! So I bought it and have no regrets! For the price ($69.99) it's a great tablet, though you can only get apps through the amazon app store not the Android app store, which limits you. But that's alright, as I mostly got it for watching videos and movies and that sort of stuff. And occasionally some games!"
1.0,"These Kindle Fire tablets simply can't be beat in terms of value and bang for your buck if you have an Amazon Prime account it would be a crime not to have a Fire tablet.Good strong build quality, very nice bright screen with a strong picture and good resolution. They are pretty responsive, have good battery life and can handle the abuse of letting your kids use it as well."
1.0,I bought this for my computer loving 89-year-old dad. Now he can check his emails from his chair rather than having to go into his computer room!
1.0,"As I reviewed different tablets, this tablet kept coming back as my best option for the items I was looking for. It IS a great tablet, but there are a few things I don't really like about it. I didn't realize that Amazon has it's OWN browser SILK. Everything even your banking info goes through Amazon. Not sure I like that. Also, items don't automatically close out when you leave a page and I have to frequently hit the button on the bottom and close out multiple items. It might just be that I am not THAT computer savoy, though I do know how to navigate my way around. Sometimes the touch feature just seems to freeze and won't recognize that I am attempting 'touch'. Lastly, the on/off button is right where you hold the tablet on the side, so I am often 'accidently' shutting it down. Most annoying! Overall, I am happy with my purchase and for the price I like it. Just wanted to point out the other items."
1.0,I purchased 2 of these tablets for my 6 and 8 year old. They were a Black Friday special for $59. They are perfect for the apps and games they wanted.
1.0,"Noticeable improvement over the fire 7 inch. If you're a first-time tablet owner then the fire 7 inch is a great device. But if you've owned a tablet with higher specs, there is a noticeable improvement with the fire 8 inch . The Fire 8"" has a better display and faster processing."
1.0,"I love this tablet because of its user friendly interface. It reminds me of a starter tablet for kids, without being too much of a dull product."
1.0,I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.
1.0,"The Kindle Fire is a wonderful, small device to use for a multitude of tasks. We use it mostly as an ereader and has been so simple to use. So happy we chose this one. It is lightweight and convenient to take with you."
1.0,"Works well; no issues with reboots or system hangs.. Good size - not too big and not too small. Screen is good for reading. Battery life is good, I've bought a few books from Amazon but mostly side-loaded books from the library onto a 32 GB micro sd card."
1.0,"Bought on Black Friday for $60, add a trifold case, portable TV while I do dishes/cook/anything"
1.0,"This is my second kindle. I love using them for reading, web searching, etc. I download some of my favorite knitting patterns, so when on the road I have something to work with.I love love love this kindle. Bigger screen, slimmer and lighter."
1.0,Bought this tablet for my wife and she absolutely loves it. I also use it for school which works great with writing notes directly on PowerPoints
1.0,I purchased this product for my youngest son! He loved the color and the size. The storage is great for the number of activities that he has downloaded!
1.0,"My new Kindle is an upgrade from my 7 year old Kindle Fire. As to be expected the video quality is better along with faster performance and more features. I still use my old Kindle as it is still ticking but the ""shiny new toy"" is fun."
1.0,I love my kindle fire it's is good for watching movies reading and anything you need a tablet for.
1.0,"I got this tablet for my mother and cousins. It's been very speedy to my surprise, not as fast as a high end tablet but no lag and a very nice 720p display with good build quality. Would definitely recommend if your looking for an affordable tablet"
1.0,Very easy to use and small enough to travel with. I slide it right into my bag.
1.0,this is the perfect size for an older person who uses it minimally.
1.0,I bought this wanting for books comics and movies and it has not disappoint ever since
1.0,I bought this tablet over the holidays when it was on sale. It has been a great tablet. The battery life is great on these new models. Also playing games everything moves smoothly since it has more ram. The durability of the tablet is great. This thing won't break if you drop it. The only thing I don't like is the fire os. You can't get everything you can get on the google store so not all apps are available.
1.0,I was looking for a Good tablet under $100..this delivered..getting used to Amazon apps LOL
1.0,My wife loves this tablet.Much easier to use than previous 2 tablets that we purchased.
1.0,"I purchased this tablet knowing exactly what my needs were and how well the Kindle could meet them. Despite the ""walled garden"" philosophy that tethers you mostly to Amazon products and services, the ability (as of right now) to side-load the Google Play Store makes this a surprisingly versatile device for the price point."
1.0,"bought this for my niece and it works perfect, she easily navigates all menus and features..."
1.0,Great tablet for the price. My granddaughter loves how user friendly it is.
1.0,Have been pleased with my purchase of the Fire HD8 as it's video quality is great when viewing ESPN3/Netflix/YouTube Tutorials.The ability to easily load and read my saved textbooks within the Amazon Kindle App is fantastic for a fraction of the price for an IPAD. : )
1.0,This is exactly what the person wanted as a gift and she enjoys using it.
1.0,I would recommend this product it is a good tablet to use have had no problems.
1.0,"Got this to replace the Samsung tab A 7"". That Samsung tab lagged a lot but I haven't seemed to have as much problems on the fire tab, the only downside is that the battery dies fast."
1.0,This tablet was affordable and it's pretty decent.
1.0,Got this for my wife and she loves it. She had the previous generation and this one is a giant keep forward.
1.0,This is my third Kindle and I have loved them all. I still have my first Kindle and use it. I just wore my Kindle Fire out with 5 + years use. I am very happy with everything my new one can do. No disappointments at all.
1.0,Bought this for my 8 year old in place of a Nabi that didn't work out of the package. Great basic tablet for this.
1.0,"I can play games, surf the internet or watch movies. I can check my e-mail or just about do anything I can do on a regular computer.I strongly recommend it."
1.0,The Amazon Fire is a great tablet with awesome graphics. I use it mainly for surfing the web and have had no issues with it.
1.0,Sleek packaging easy set up and great for anyone who wants a e reader with more to offer.
1.0,Great tablet but apps limited comparison of other tablets.
1.0,Simply does everything I need. Thank youAnd silk works wonders
1.0,My first tablet experience and it's awesome. I love being able to stream movies and have numerous apps at my fingertips.
1.0,"Excellent and inexpensive. ITunes store and Google Play store have more apps to choose from, but this is still a very useful tablet. Expandable SD micro memory a definite +."
1.0,Love best buy and I shop at Best Buy I always buy my TV for me and my kids I buy my kids tablets at Best Buy Love Best Buy
1.0,This tablet has been the best one for the price we have purchased 3 other tabs for our kids and they have all broke and ran super slow they love them would definitely recommend this to anyone who wants to save a buck but want quality
1.0,"The Kindle fits me to a ""T"". Very quick to start. It shows how to get things done."
1.0,Bought this for my 83-year old Mother. She loves it!
1.0,Super fast. Lots of storage. Great tablet for anyone.
1.0,This is a great tablet. I was surprised at how efficient and easy to use it is. I bought 8 of these for gifts to make Bible study easier for a bunch of friends.
1.0,"Best tablet around, cheaper than most and does just as much as other tablets. Great buy, it works perfect! Battery lasts a few days too."
1.0,bought as a gift for Christmas. they love it!!!!!!
1.0,"I like that it is a good reader and that you can also put some apps on it -- I use it to check email, one note, etc. but primarily as a reader."
1.0,"This item has a very nice readout, and is well built as far as I can tell. The overall size is very suitable, and the price was reasonable. I get great service at Best Buy every time I shop there."
1.0,Bought this for my daughter to replace a worn out ipad. She is happier with the size. The resolution is nice. Great buy for the price
1.0,"GREAT value for the cost - not as fast as a high end tablet, but certainly faster than I was expecting. Clear viewing and easy navigation"
1.0,I got this for my kid as a gift so he could read books easier and it has helped a ton!
1.0,I always wanted a tablet and finally decided on the amazon fire 8. It is awesome and I love it.I downloaded some games and I am enjoying them. It is great for internet too. Definitely worth the price. You get a lot for the money. It had lots more options too.
1.0,Bought this for my niece and she loves it. Very easy to use from what she tells me!
1.0,This is a great Tablet. Love the features and resolution
1.0,Works great with my amazon prime account and for browsing Internet and playing game. Cheap tablet as well.
1.0,Love this tablet. Power lasts long. Short charge time. HD screen is really clear. Only con is that there are some apps not available like Google play. Very satified. Have a 128gb card in mine . Plenty of space for downloads. The camera has no flash and is not the best but I didnt buy this tablet for that. High recommend the HD tablet 8gb amazon fire. You want go wrong.
1.0,Really nice customer first service. I have had other Kindle readers before so was familiar with the unit.
1.0,I love the fire....it works great and the navigation through the Fire is user friendly too. I think the 8 is the better buy for your money.
1.0,Got this for my wife. She loves the bigger screen and the better app management features that this one has over her earlier generation kindle. Definitely worth it!
1.0,More flexibility than a Kindle and bigger screen. Like it because I can surf the web and download and read books.
1.0,"This tablet is easy to set up, has great resolution, and is perfect for reading books or surfing. The price is affordable, too. It is perfect for anyone who wants a fun and casual way to use technology."
1.0,"Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price"
1.0,I purchased this tablet for my niece for Christmas and she love it.
