stars,text
1.0,"I am a power user; there's no other way of putting it. I work in IT and I research the heck out of products before I buy. I had an iPad Mini 2 that was just not up to snuff with iOS 10 so I sold it and bought (and eventually returned) the 2016 Fire HD 8. First let me say it's a great tablet for the price and for probably 50-60% of tablet users who surf the web and watch Netflix. It also helps if you are a heavy Amazon content user. For me, I was spoiled by the retina display on the iPad. The 720p display is alright, but you can see the pixels. 189ppi is pretty low by today's standards. The other big thing for me was the lack of a laminated display. It's glare city on this thing. Display nitpicks aside, it punches above its price point. If you don't play really heavy games (which it even plays Titan Quest surprisingly well!) and you don't mind not having an absolutely beautiful screen I think it runs and works fine. It just wasn't for me. I bit the bullet and went with a 128GB iPad Air 2 as its on special at BB for super cheap right now."
1.0,Tablet is working good for what we wanted it to do.
1.0,I was unsure about getting a tablet but after purchasing the Amazon Fire I was convinced that I had made the right choice and have been very happy ever since. I was concerned that I had a lot to learn but it came quickly to me and I really like the screen size. It was a great buy!
1.0,"This product my not fully compare to more expensive tablets, but Amazon has made improvements that provide a platform to watch media and read. Further, Amazon has made significant strides to provide a music platform which also improves the value of this tablet."
1.0,BOUGHT MINE ON BLACK FRIDAY AND IT IS AWESOME. MY FIRST TABLET AND IT IS GREAT WITH ALL OF THE AMAZON FEATURES.
1.0,It's a really good gadget ...I love everything about it...
1.0,I am glad that I made this choice for both my kids: they love this gadget it has things for them to learn and play. Great thing about this is customized content for children
1.0,Great tablet for kids to use! Play games or read books and isn't slow.
1.0,Beautiful picture. Enjoying different apps and looking forward to hours of fun.
1.0,I am a book addict and this is my 4th kindle device. This is by far the best one. It is so compact it is almost smaller than my large wallet. Can fit anywhere. Holds a charge incredibly well and very nice display to make reading fun.
1.0,very good product and right on the cost! Great gift for the holidays.
1.0,"Easy to set up, great picture love it! Keeps my kids entertained and they love it also ....it was a gift."
1.0,Love it! I'm not computer savy but was able to figure out most things without any help.
1.0,The salesman was very good pointed us in the right direction. The tablets are perfect for our triplet grandsons.
1.0,Great stuff to have. It is a good tool to help your kids go out and find knowledge! And this does help. Wanting knowledge should still be encourage.
1.0,"Works okay as a tablet and especially to access Amazon.No good as a general tablet as there are no Google apps available, such as Chrome, gmail, etc."
1.0,"I received this as a gift after my original Kindle Fire started giving me trouble after 4 1/2 years and wouldn't hold a charge. This new Kindle Fire 8 is fantastic! The larger size makes it easier to read. The ""buttons"" are better than the old one. I like that is has more ""perks"", i.e. camera, that my old one didn't have. It's nice to be able to read, play games, browse the internet, or check email or take photos. The battery lasts for days! I definitely recommend this."
1.0,"I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this."
1.0,This is a great gift for my 6 year old nephew. He will enjoy it for hours.
1.0,"I enjoy my Kindle immensely, so much better than having to start up my computer."
1.0,Easy to use as a tablet and easy to use as a ebook reader
1.0,This is a great device for my sons games since he was always using my iphone.
1.0,Has all of the functions of the expensive iPads and works great for fraction of the cost!!!
1.0,"I bought my Fire HD just for reading. I have a Kindle Unlimited membership and wanted to keep all my books in one place. This is an amazing little tablet. How Amazon can sell these for only $89 is beyond me. And I got mine on Black Friday, so it was only $59! At that price it was a downright steal. I had the first Kindle Fire. This model is better in every way imaginable. I also own an iPad Pro 9.7"". I don't try to compare the Fire with the iPad, they are completely different devices. But for what the Fire is, I love it every bit as much as I love my Pro!"
1.0,"Not sure if this is due to the new version but I'm not able to install or even sideload certain apps onto the tablet. Amazon is really trying to lock out non-Amazon apps namely ones from Google. Aside from that though, performance is already and what you'd expect from a tablet in this price range. This was purchased for my mom and it does what's needed and my mom has no complaints thus far."
1.0,I love this tablet. The screen is so clear. So easy to read a book on.
1.0,While this tablet doesn't have the screen resolution that I'm used to it's a nice beginner tablet. Faster than my old Fire HD tablet I purchased years ago...
1.0,"I've been a kindle owner since the early days and when new versions have come out in the past, it was usually a no-brainier to upgrade. The oasis was a little challenging because the price really makes you stop and think if this upgrade is worth it. After a lot of thought, the factor that convinced me to switch was the reappearance of the page turning buttons. I missed them since they vanished with the kindle keyboard! The paper white and the voyage were great devices but I often accidentally changed pages if I accidentally pinched the bezel when carrying the device or even just shifting positions on the couch. The Oasis' buttons have removed that issue and I am delighted! The weight and thinness of the device are also appreciated tho the paper white etc are pretty thin already. The addition of the cover is interesting but after a month's use I think it's pretty clear the cover/battery is there only to boost the very short-lived battery in the kindle itself. ""Months"" of battery life just seems impossible unless you keep the screen at low illumination and only read a few minutes a day. The screen is clear and bright, I can't see any LED issues others have complained about and the interface does seem snappier than older versions. Ultimately the only real justification for buying this kindle is if you miss the page turn buttons and want to pay top dollar for them. Otherwise, the existing kindles will meet your needs."
1.0,Daughter loves it. Everything transferred from her Kindle to the fire. She said it is unbelievable fast.
1.0,Works very well. Easy to carry around & connect to wifi.
1.0,These are excellent to keep on the coffee table or taking along on a trip. Can't beat the price.
1.0,Got this thing around Black Friday and only paid about 50 something bucks. Awesome equipment you can actually stream the web very glad I bought it can't believe it so inexpensive!
1.0,Great value. Daughter loves it. Easy to use and navigate for her.
1.0,"This Fire HD 8 is my first such device. I find it to be easy to operate and very responsive.The touch screen control takes getting used to as I often click on the wrong close part of the screen and have to go back. The Alexa voice assistant surprised me when she announcedherself over the speaker. (I shut her off since I'm not a fan of conversing with computers).My main complaint is that comes with nothing but a charger and cable. The wordless, pictorialstart up instructions were primitive and vague. There are no instructions on how to use thisdevice; no sample book to test and get familiar with. There is a help function thatfills in some basics of functionality but not thorough enough. The WiFi connectivity is great, using the latest protocol and encryption. It has a simple web browser but web time also seems to be the greatest drain on the battery. The cable can be used toattach to a Windows PC and transfer files (books, music, pictures etc). I would also recommend buying a protective case for if its ever accidently dropped."
1.0,I love the snap on cover that charges the kindle. It is also very light.
1.0,It was a gift for my granddaughter and she seems very happy with it so far.
1.0,Gift for my mom and she absolutely loves it. It was exactly what she wanted.
1.0,Just a simple kindle. Doesn't have the glass back.
1.0,Easy to use with great picture. I would recommend it to a friend.
1.0,I pulled the trigger on the fire tablet knowing the I would have to install the google play store separately. with some work this could be the most bang for your buck for an android tablet.
1.0,So cool after playing with this for a while now I would never spend the money on an apple for what I am doing with it.
1.0,"For the price, this tablet is not bad. I found a couple of things that is a bit annoying. Every time you turn on the device, ads will appear in the lock screen. Also the picture gallery, it takes several minutes to load. The wait is very annoying."
1.0,You can do some many things and the best part apps for free on Amazon underground!
1.0,"I have been buying Kindles since they first came out. When ever I want to upgrade Kindle is my chosen brand. I am not very tech savvy and I enjoy watching movies, listening to music and primarily reading. I like the ability to purchase narration for my favorite titles and using text-to-speech for the rest."
1.0,It's very good product and I recommended this to buy it.
1.0,"This Fire tablet is a nice upgrade to the one I purchased 3 years ago. The screen is great, it is very fast, has lots of storage with the SD card, and just an all-around good product. And a great value."
1.0,"Only cost me $59 at Black Friday. Good deal. Way cheaper than an iPad of which I have several. This was for my young kids. The only knock I have has to do with the you tube kids app for this vs apple products. On apple, you tube kids allows you to speak your search. You only have the option to type the search in for this which is problematic for young children who cannot read or write"
1.0,My wife loves her Fire Hd8 she had one of the older models so i up graded her to this new model and she feel in love with it right away
1.0,Lots of good features for the Amazon member. Tablet is nice and fast.
1.0,All I wanted was a Kindle to read books. I got this instead!! Excellent choice because I can read books and do so much more!!
1.0,I had problems with my White page and was in the process of buying ad new Kindle I found this was a better unit for my use than tine White-page.
1.0,"It's a really great tablet. It even has Amazon Alexa built in, so I don't have to buy Echo or Echo Dot. I originally bought it to use as a MP3 player but has so many features, I haven't added any music to it."
1.0,Great battery life and picture quality. The camera is not the greatest but I often don't use it for the camera. I usually have my phone with me so I use that instead. Can hold a lot of books too.
1.0,The device is a good item and I really recommend to everyone
1.0,"I bought my Fire HD8 as an alternative to carrying around my laptop and having to buy many textbooks for college. The fact that I saved well over $150 on one of the 5 books I had to get this semester was a godsend. Most all undergraduate courses I have seen are offered in eBook form for Kindle. If you do not care about having the constant ability of being on the internet without WiFi or other hotspot, it's a great resource. Pros:Price for this was still less than the money saved for my Biology Book.A lot less weight that 5 college textbooks.So far all books I need for college are available as eBooks through Amazon.A single charge can make it through an 8 hour school day.Cons:If you want/need a network connection, you have to use your phone as a hotspot or connect to another WiFi network. Bottom line, I wanted a cheaper alternative to having to lug over $750 in books around. I came out at well under $500 considering I bought this."
1.0,Easy to use and portable. Took on vacation and it was great to kkep up on emails and news.
1.0,"This tablet is excellent considering the price. It has a very clear display, is a fairly large tablet, and has plenty of memory to store a lot of apps, music, pictures and more. Considering the price, this tablet has the best value out of all tablets to date in my opinion."
1.0,"it would be nice to have full app library, but it does what you need"
1.0,Bought for my wife to upgrade from the original Kindle that she has worn out. Big step up from the original and should be good for another 8-10 years.
1.0,"Got this tablet for Black Friday. Wow, 16 gigs, great screen, expandable memory, what a deal. Tablet is a must have for Amazon Prime members. It unlocks the door for all those great Prime perks; books, shows, and shopping. Pairs to Alexa. Great screen for books! Buy it already!"
1.0,bought as a gift she loves it all kinds of apps easy to use and even easyer with amazon prime
1.0,"Clear screen, color and size, grandson loves to play games on it and I like to have it with me to view emails during commercials while watching tv."
1.0,Easy to read. Light in weight. Has many good features.
1.0,I purchased it for my mother-in-law and she loves it it was easier for her to use and understand
1.0,"Works well. I really like the bigger screen (up from the 7""). Easier to read, just as easier to use if not better."
1.0,For a cheaper price this does more than my kindle- love having this tablet
1.0,"I love this tablet. I know it's not an iPad or any of the big tablets but it does just what I need it to do. I've had it a few weeks now. I've downloaded videos, read a few books and played some games. I've had zero problems so far. I know it's not the best video, but for the price of the tablet I don't expect it to look like my flat screen TV. I'm trying not to load too many things to keep it from slowing down. So far so good. Browsing the internet is easy too. I'm getting used to the browser and the app store for Amazon. For the price of this tablet it's not too shabby!!!"
1.0,I have enjoyed using the Fire HD. It is fast and easy to use. I also appreciate all the things it will do.
1.0,I need a table that had more memory to start with. This fit the bill. I had a kindle before but mine did not have a camera like this one . This make it easier to capture picture instead of having to stop and use my phone.
1.0,Perfect price for the tablet and recommend for kids who don't take care of electronics. Purchased a I-Pad and the kids broke it and was out $600.00. If they break the tablet I can purchase another on at the low cost at Best Buy.
1.0,I went from the 7 inch Kindle to the 8 and it really made a difference. Easier to read and clearer than my old one.
1.0,Picked this up during Black Friday and for the price is a great starter tablet for my kids
1.0,I used to watch youtube on my phone and wife decided I needed something bigger. I seem to like it very much. I did buy a micro sd card for it.
1.0,Bought this for my niece for Christmas. I'm sure she will love it!
1.0,Excellent. Just as good as iPad with a fraction of the price.
1.0,Great tablet/e-reader. You can do a lot on this bad boy!!
1.0,"I really like the Fire IS 8 16gb, it is fast and smooth."
1.0,"Pretty good tablet especially for the price. That being said, it could be slightly faster when opening apps and running certain processes. Overall good machine for the price."
1.0,It does everything my kids need without having to pay a ridiculous price.
1.0,Really enjoy this product. Love watching movies and playing games on my Fire HD 8
1.0,I bought this as a Christmas gift for my son. Very easy to use.
1.0,Great quality and decent price. Love features and the fact that I can mirror my tablet on my tv with firestick.
1.0,"With a $20 off deal last blackfriday, who will not get it. Much clearer and faster than the other fire HD. Light weight too"
1.0,Works well. Easy to use. I like the auto on when you open the case
1.0,İt is cheap tablet option coming from amazon. Latest model will satisfy your needs
1.0,I just like reading amd playing games on it..Better then those bulky computers
1.0,The pad worked as I thought but the screen wasn't as vibrant as our iPads. Still a great deal for the price.
1.0,My wife and kids love it. Easy to use. Great for the price.
1.0,The gift was great since I have a 10 I knew was a good present for a very deserved person!
1.0,I haven't used a product like this and man I have to tell u it's better than apple products
1.0,"Got it for my grandma. She loves it , has no complaints about it."
1.0,I am very happy with this tablet. It's a good size for me and easy to read and use.
1.0,Decent tablet. Access to kindle and pretty much all your google apps.
1.0,Love the kindles. This was a gift and a great value. I have one myself.
1.0,Very happy with my kindle. Would buy it for my kids
1.0,"very good for kids to use, play games and watch kids videos."
1.0,"Gave to my Grandchildren for Christmas, would like to get another for the same price for another Grandchild."
1.0,I'm sorry I didn't buy it sooner! Very easy to use. Love it.
1.0,This is a good device for entertainment and entry level tasks. I think it can do a lot for the price.
1.0,Love the tablet mainly use for games and internet. Grrat product foe the price.
1.0,I was pretty impressed with this little device. It was easy to setup and works rather well. I had also bought a IPad Air 2 with 128GB during BF for $375. After playing around with the HD Fire I returned the Air 2 because it met my needs at a much lower price. I added a 64GB SD card and am downloading movies from Netflix. The HD display is very clear. Battery life could be a little better but overall I'm very satisfied with it. The free stuff you get with an Amazon Prime account is icing on the cake. I dig it!
1.0,It works great for all my needs to check my emails
1.0,This works great. I read a LOT and I needed something that would handle all my eBooks. It has all the other bells and whistles as any tablet but I use it for the eBooks and one game. Excellent!
1.0,I am very happy with this tablet. The worst thing is that my steals it all the time. Lol
1.0,its the best tablet that you can buy for the price and you can add a memory card to it.
1.0,"This is our 4th kindle and we love them as ""beginner"" tablets for kids! No worries of data overages and with the sd card slot memory will no longer be an issue!"
1.0,"its fast, it has good lighting. its got the 16gb space, best gift ive bought for a bookreader."
1.0,"Upgraded my tablet to hd, previous owned the 7"" regular. I wanted a tablet so my grandkids can use instead of using my ipad. A great xmas gift."
1.0,I wanted something for games and reading so I thought this was a great deal. I have enjoyed it so much. Passes a lot of time for me. Easy to download on too.
1.0,I had gotten this primarily to watch movies and run some basic internet programs. I have been very pleased to date with the speed of the processor and picture quality.
1.0,Great tablet for under $100. HD quality and it works just as good as any tablet.
1.0,"Perfect for teenage tablet, perfect for homework!!"
1.0,"This is a gift to my wife for xmas, don't know yet if she likes it but I can't see why she wouldn't"
1.0,Bought for college student as substitute for text books. Works great!
1.0,The tablet is not for me it is for a Christmas gift
1.0,Purchased for my niece for a Christmas gift. She loves it no complaints
1.0,"This is a nice little tablet for the $60 I paid on black Friday. At the regular price I would probably have gone with something a little less restricted and without so much Amazon content. The lock screen ads aren't much of a problem, I understand Amazon sells these cheap and gets it back via ads, but the 15-20 Amazon apps are a little much. It would be easier to stomach if you could add the ones you want or remove the ones you don't. That said, I was able to install the Google Play store and this tablet does everything I need it to do. Overall, I'm pretty happy with the purchase. It's a nice new toy. One note: In the online photos the magenta looks purple. It's actually pink. If you like purple, get a black one and a purple case."
1.0,"I use to read books, watch movies, and get online.. it works great and easy to use."
1.0,Fire is a good tablet. Portable size . Have bought a couple for gifts as well
1.0,"This has a great picture, good size, lots of storage and a camera. Would recommend"
1.0,I bought this to replace a Samsung Galaxy Tab 3. I absolutely love the Kindle HD 8. It was easy to set up and very easy to find my way around. The only reason I took off 1 star is that I have found some apps are not available for Kindle. But so far from info I have read online there are ways to resolve this issue.
1.0,We got a great deal on Fire HD 8. My kids love playing on it.
1.0,"Excellent value, lets me lug all my favorite books around and read whenever. Wouldn't be without it."
1.0,Very nice at a great price. Love Bose products. Highly recommend.
1.0,The Kindle Fire HD is an impressive Product. It is faster than my Samsung tablet. I know I will enjoy using it. I just wish that Amazon Prime music had a downloadable app for it.
1.0,This tablet is great and easy to use. Great way to keep the kids entertain.
1.0,Purchased these for my grandkids...and they absolutely love them. They can play play their games to their hearts' content. They ar ed really fast too.
1.0,"If you're looking for a tablet to read books & surf the Internet, this is perfect."
1.0,"I expect my tablet to be a workhorse. Available to have two or three books open that I'm reading, hanging on to my email and ready with summaries of the news. The new Kindle Fire does it on a larger, brighter page. It is a work horse more than worth the money.. It goes with me might and day. I don't know what I'd without this gem."
1.0,I love the size and portability of this. Keeps me in touch and having fun.
1.0,"I love this tablet! love my ipad , too, but this is much lighter weight and easier to slip in my purse. I went for a 32g but there were none in stock, so I got the 16 and a memory card that I will probably never need!"
1.0,Easy to set up. Perfect size. Easy to read font. Price was affordable. Great gift idea for the adults on my Christmas list.
1.0,I read the online reviews and compared products. Same price here as on Amazon.
1.0,"Purchased this for my nephew for Christmas. After reading reviews, I think this will be a good device for reading books and listening to music."
1.0,"Reading is easy, can make font as large as you need"
1.0,"This tablet is great! Nice display, and you get the amazon eco-system. Now you can also download google play easily, so you have the best of both worlds."
1.0,You cannot get a better tablet for the price and Best Buy had it on sale.
1.0,The screen picture is crisp and bright. I will use this tablet for many things.
1.0,This product is very handy on the go. I can check emails and find work for my truck.
1.0,The 8-inch screen makes it very easy to use and read the print of books. Overall quality is very good.
1.0,Nice upgrade from my old kindle. I like it very much.
1.0,Great product...great price very easy to use...I got it for my nieces..they love it
1.0,"I believe it depends on how you want to use it. I bought this for my young kids and they are loving it. They can do basic stuff like surf the internet, watch youtube and play some games. The only complaint that I have is that sometimes it does not charge, even if you have have it connected for the whole night. You just have to restart the pad so that it can charge, but that is the only glitch."
1.0,"Bought this Kindle because of the great price. Good thing, because I dropped the other one without the case on it and it cracked."
1.0,"I enjoy readi,g and Facebook using this item. I also purchased my husband one."
1.0,"While the Fire hd8 tablet certainly will not perform like some of the more expensive units, for basic web surfing, email, and especially shopping on Amazons web site, this tablet performs well, although it will occasionally freeze while surfing some sites. The screen resolution is what I would call 'adequate', but not on par with other high resolution (and far more expensive) tablets out there.Overall, I am pleased with this tablet-so far."
1.0,Price was fabulous for an entry level tablet. Right on
1.0,Great HD features. Makes it easy to travel with and be on the go and see all your shows.
1.0,"Can't beat for price,feels expensive but isn't. Does all the basics"
1.0,"I love my kindle. It fast, great pict quality and is so convenient to use. I love using it to watch Netflix. It worth the purchase if you don't want to spend so much money."
1.0,Great little tablet for a great price. I keep it at work for listening to music or some lunchtime reading.
0.0,This is a neat little device but really not that good for much. I am sure it will improve in the future but I would recommend waiting it out.
0.0,"its good product but it has a big problem , the battery is the big issue for this device."
0.0,"I had to spend a lot of time figuring out how to allow apps from the Google Play store to be installed. Without that capability this tablet isn't very good. Amazon just doesn't have enough apps available. I did a fare amount of research on the internet to find the process for installing the google play store. I also notice that this isn't a ""snappy"" and ""fast"" device but I wouldn't expect it to be for $50. For the right situation this is a great buy."
0.0,Nice sound quality and connects to my iPhone. I listen to Pandora and books and it's great
0.0,Its good for the price. Amazon store is not as huge as Android play store
0.0,"I'm a big fan of Amazon and their products, but this tablet is just ok. The build quality is great and the image is very good, but the software is mediocre at best. Worth the price."
0.0,I got it for $34 during thanksgiving . Bought for my parents. Works as intended.ConsCamera if you really care
0.0,"I purchased this tablet for my granddaughter, and she can't put it down!"
0.0,"We switched from an older model tablet to this simplified Kindle Fire. For the price, it is a decent reader, which is primarily what we were seeking, but it has its limitations.The primary user in the house used it to read before bed. He feels the lowest brightness setting is still too bright, so he defaults his books/documents to black screen. However, words in italics default to the screen background, which means they are black. Doh!He also doesn't like the persistence of the Washington Post popping up on his Home Screen. He finds it a bit annoying. However, he doesn't mind the ads and suggested content from Amazon at all. it is just the Washington Post that he doesn't like.Beyond those minor things, it is an inexpensive and feature rich ereader. Being Amazon Prime customers, we share content between our accounts with ease now that we both are on Kindle platform."
0.0,I bought this tablet for my 4 year old it's a good tablet for the 33 dollars I paid. I just wish I could remove some of the Amazon apps.
0.0,Bought for lil brother its a ok tablet for a kid especially apps like WWE and cartoon
0.0,"Kids will love this tablet, has a camera and kids can make movies with it. Wonderful for a child with a good imagination"
0.0,Screen resolution could be better. I got what I paid for. Fine for browsing.
0.0,"Bought 2, 1 did not work out of the box. Too slow, too much trouble to setup and requires amazon account to use. Returned both items"
0.0,upgraded my 3 year old kindle- same old. doesnt seem that great of a difference. the graphical interface still sucks but its decent for reading.
0.0,Kindle is good as long as it is plugged into a wall outlet. The battery lasts a mere 15 minutes as a portable unit. Not happy with this. Takes an hour to charge the battery to 100% yet drains in 15 minutes. There`s something mathematically wrong with this equation.
0.0,Don't like all the ads. Didn't know that they would be permanent because I bought it on sale. It's very slow and has trouble connecting to my wifi.
0.0,Hard to connect to the internet. Extremely slow to load apps. Not many free apps like apple. The only thing I really like is the protection it offers.
0.0,"This is an OK tablet for the price. Does is able to do a lot of things like a more expensive tablet, but I find it to be slow. I bought it mainly as a reader, so am not to concerned about the other apps, etc. Is handy to carry in a purse for reading on the go. I have hooked it up to public wifi and seems to work OK, did not do much as don't know if any security there."
0.0,"My gift to my grandchildren they are on it 24/7 would recommend this, prices have gone down since I first bought my oldest granddaughter hers"
0.0,"The Kindle is great for just reading books, and the battery power is pretty good.The experimental browser is not very user friendly."
0.0,"The Echo is a great product if you have money to burn and tech savvy. Alexa (echo) learns as you talk to it and ask questions. You have to go online and enable different skill sets to allow Alexa to answer more questions. As for operating smart devices this cannot happen wirhout a huge expense. You have to purchase wifi/smart bulbs and switches before she can operate. One smart switch or wifi bulb can cist as much as $30. That's pretty steep to me. On occasion, Alexa will begin talking when no one has called her to respond."
0.0,It came with dead pixels so i was very disappointed. i called then they replaced it. I ended up returning it completely because it was too slow.
0.0,If your looking for a simple tablet that does basic things? This is the one for you. I like it.
0.0,"Absolute junk, don't waste your money. Bought for wife for a Christmas gift. Would not connect to Wi-Fi at my house. Useless!"
0.0,"Was surprised by reviews I read stating this device had a great display. By no means is the display bad, but please, this device only cost $40. It does not compete with the iPad and Galaxy tablets. The Fire OS needs some sharpening up."
0.0,This device would be the best possible tablet for the money if it had Google Play. However Amazon chose to block access to it. This took their well made tablet with a beautiful screen and great performance from an amazing value to a waste of money. This is my last amazon branded product.If you use a lot of apps or want specific apps shop for another device.
0.0,I was not overly impressed with this system. I didn't realize you have to buy Amazon prime in order to use the functions. It didn't connect easily to my phone. It wouldn't just stream music saved on my iPhone. I had to download a music app and then load my music into the app. It wouldn't work. Way too much work and added expenses in order to use. Wasn't happy with that so I returned it and purchased a jbl portable Bluetooth speaker.
0.0,the app for that does not work well i haven't used it that much just for news
0.0,"Alexa can do basic things, hard to find tune skills"
0.0,Not very user friendly. A bit slow & heavy. Burned out pixel right out of box. Noticeable but not bothersome. Still like my iPad after trying fire.
0.0,"Amazon echo dosent hear well when the music is on full blast, but when you do get thru she's very acurate ."
0.0,This doesn't power anything. I got this for my dad for Christmas and we just thought his Kindle was bad..nope..tried it on other things and it won't charge anything...I want my money back or a replace meant...maybe this unit is just bad! But 20 bucks down the drain!
0.0,"I'm constantly getting updates on how they are making the echo great. It will take time, but needs to also integrate with phone to send and receive calls and text messages. Hate having to tell it what 3rd part app to integrate with also. Good for smarthome features."
0.0,"It's a decent tablet, but keep the following in mind:- if you get this for your kids to share your amazon prime account for video and game apps, you have to lock it to prevent accidental purchases. Problem is that this prevents free app and video purchases, and you have to okay every thing they do. - if you allow them access to apps and video, then that can purchase anything without limits.On top of this, they lock out the google app store and refuse to even allow access to google drive. While you can hack it to add these basic features, you will need a modicum of technical knowledge to do so.So, it's useful, but a pain too. Your needs may vary."
0.0,"It's a good tablet, mainly because I order so much off amazon"
0.0,it was great for reading but the lag time for loading videos was a little bit longer than an iPad
0.0,"Priced for the modest budget, but is totally capable of performance to satisfy the basic needs of entry level tablet users."
0.0,"Camera has poor resolution, charging time is slow."
0.0,I purchased this for my stepdaughter. well her dad and I are no longer together we divorced 2 yrs ago. Both her parents could not purchase this for her. So Merry Christmas little one. She loves it . Easy to learn great for pictures
0.0,If you are buying it is a great price. To buy for you kids . They should come with a case for same price.
0.0,I had to return this product as it was not compatible with things such as Facebook and Itunes... which is what I needed it for. Great if you are into books and streaming movies!
0.0,"Bought i, was OK but don't use it anymore for the price it is good though"
0.0,"Bought this to lay on the coffee table for quick email checks and google searches. If you are looking for something to watch movies on or simple tasks, then it will do ok. Not a daily driver for sure."
0.0,It's an alright tablet for my parents to learn and use for Skype
0.0,paid 39.00 on sale. bought two and 1 week later one will not connect to wifi will have to return.
0.0,"When i first got the tablet the screen was damaged, overall it's a decent tablet. Its sorta slow, at the end of the day all i gotta say is only bruisers remain."
0.0,Battery doesn't last the up to 7 hours estimate. Didn't even last 4 hours one day. Watches video mostly but should last longer than that.
0.0,Good product for $50. External SD card is nice option.
0.0,I don't like this tablet as Android is not working well
0.0,This really isn't a very good tablet by any measure other than bang for your buck. I bought this for about $35 just to kill time on a couple of long flights so I didn't wear out the battery on my phone. I definitely wouldn't recommend using this for reading as the screen resolution is really below average and be tough to look at. I only used it to read some comics and play games on a screen bigger than a phone so I got what I wanted out of it.
0.0,"Very slow, freezes frequently but it was 34 dollars"
0.0,"I understand you get what you pay for but come on Amazon. You make millions a day and you allow this product to be on your lineup. The only thing this tablet is good for is collecting dust. In my opinion, if any company is going to integrate the AndroidOS at least make it user friendly and 100% open. It's basically like purchasing half of a device or a demo device."
0.0,Decent product that has great value. Definitely buy again for a gift
0.0,Nit sure was s gift not sure what the product is like
0.0,I bought 3 of them as gifts for my nephews. It was really disapproval to learn that they were already linked to my Amazon account. I started getting notices everything's they downloaded something. I had to literally unlink everyone one of them from my account before they made a big purchase (which they did purchase Amazon Prime-which I cancelled because I wasn't ready for a $100 purchase).
0.0,The charger don't fit in the tablet I called Amazon
0.0,They are ok for a kid to play games on. But I don't like it for myself. I will just save for an iPad.
0.0,"She is like my personal assistant, but I wish she is as smart as Siri... but since there is no one else like her, she will do for now."
0.0,Got this because it was on sale and I had a gift card. It is extremely slow using the internet. Hoping to be using it was an e-reader.
0.0,"I got this for my 88 year old mother to view pics on Facebook of her children,grandchildren,great grandchildren and great great grandchildren. With the kids protection bumper she is able to handle it well. The bad side is that I wanted to hide all the other apps and could not. Plus I ended up paying an extra $15 to get rid of ads."
0.0,The Amazon Echo is a great item. Sometimes the echo doesn't respond to the commands or cannot answer
